Date,Close,High,Low,Open,Volume
22-11-2013,16.15683937,16.2301948,16.11736456,16.14813599,223725600
25-11-2013,16.2793026,16.34550839,16.19413628,16.19475712,229311600
26-11-2013,16.57956314,16.66473112,16.28738646,16.29111482,401382800
27-11-2013,16.96995354,16.97119688,16.57955321,16.67000492,363448400
29-11-2013,17.28420448,17.35445069,17.02746062,17.07936881,318127600
02-12-2013,17.13376999,17.54095314,17.12102617,17.34419993,472544800
03-12-2013,17.60280037,17.60466621,17.33424563,17.35351657,450968000
04-12-2013,17.56177711,17.69201408,17.43185056,17.57731804,377809600
05-12-2013,17.65192032,17.87695994,17.60560797,17.79956408,447580000
06-12-2013,17.40698051,17.61616871,17.39299502,17.58632855,344352400
09-12-2013,17.60622215,17.70413226,17.43433415,17.43433415,320493600
10-12-2013,17.57886696,17.65129108,17.44365667,17.51763455,278269600
11-12-2013,17.4486351,17.74734217,17.39672856,17.62394274,359718800
12-12-2013,17.42314148,17.57233892,17.40729014,17.47287507,262290000
13-12-2013,17.23323059,17.49588078,17.20960879,17.49494786,332822000
16-12-2013,17.32865334,17.48842003,17.25125916,17.25156958,282592800
17-12-2013,17.25064087,17.38895874,17.20059684,17.27612851,229902400
18-12-2013,17.11946869,17.14060547,16.74740787,17.08621059,565863200
19-12-2013,16.92333794,17.09553641,16.90064739,17.07999549,320308800
20-12-2013,17.06507111,17.14557612,16.93452373,16.95348425,436413600
23-12-2013,17.71998596,17.73956732,17.49214932,17.65502187,501306400
24-12-2013,17.64476776,17.77562556,17.59379082,17.71377064,167554800
26-12-2013,17.52758408,17.70164835,17.51142066,17.65813145,204008000
27-12-2013,17.4091568,17.54343418,17.39081878,17.52509617,225884400
30-12-2013,17.23603058,17.40916197,17.16764853,17.32741526,253629600
31-12-2013,17.43806839,17.44614927,17.21986634,17.22515178,223084400
02-01-2014,17.1928196,17.31404273,17.15831816,17.27208126,234684800
03-01-2014,16.81516457,17.21053666,16.79806823,17.18442818,392467600
06-01-2014,16.90686226,16.99606901,16.58577673,16.70544614,412610800
07-01-2014,16.78594398,16.96995326,16.72004865,16.918978,317209200
08-01-2014,16.89225006,16.95752291,16.74398553,16.74771389,258529600
09-01-2014,16.6765461,16.99794218,16.6401788,16.99607634,279148800
10-01-2014,16.56525993,16.80957042,16.50837838,16.77941984,304976000
13-01-2014,16.65198135,16.86241123,16.47014663,16.47107955,378492800
14-01-2014,16.98332596,16.99389352,16.71197239,16.72937915,332561600
15-01-2014,17.32429886,17.41257432,17.1471271,17.20494157,391638800
16-01-2014,17.22763443,17.30844986,17.14775026,17.24783829,229278000
17-01-2014,16.80553055,17.15987413,16.78159667,17.14153611,426739600
21-01-2014,17.06663513,17.09771699,16.79776813,16.81548532,328526800
22-01-2014,17.14246941,17.32212622,17.02746295,17.12381931,379985200
23-01-2014,17.28762817,17.2975749,16.93421743,17.09367208,403239200
24-01-2014,16.97337914,17.27021868,16.93234891,17.21986424,429354800
27-01-2014,17.11107445,17.24473101,16.96343239,17.09770979,554878800
28-01-2014,15.74343395,16.00763624,15.60573529,15.81368017,1065523200
29-01-2014,15.5647068,15.77047543,15.49850102,15.66417235,502810000
30-01-2014,15.53455639,15.7434342,15.43882252,15.62034519,678501600
31-01-2014,15.56004333,15.58895058,15.34091005,15.39157491,464797200
03-02-2014,15.58895779,15.78167226,15.51964445,15.62252798,401464000
04-02-2014,15.81461143,15.8354378,15.62718249,15.72322843,376681200
05-02-2014,15.93272591,16.01633844,15.73566067,15.74529697,328344800
06-02-2014,16.0255928,16.05655008,15.8786284,15.94898448,257765200
07-02-2014,16.24979973,16.35142376,16.17788221,16.30295717,370280400
10-02-2014,16.54091644,16.63472351,16.19727169,16.21790878,345559200
11-02-2014,16.7588501,16.81481968,16.55685126,16.59156088,282256800
12-02-2014,16.75759888,16.87141841,16.67379979,16.78980694,308100800
13-02-2014,17.02369881,17.03683119,16.70381745,16.71820062,307398000
14-02-2014,17.00993729,17.07216413,16.92301209,16.96240923,272924400
18-02-2014,17.07248116,17.2350779,17.06059788,17.07279343,260251600
19-02-2014,16.80293846,17.10061798,16.7085069,17.03370196,313768000
20-02-2014,16.60845184,16.79137507,16.54122352,16.66598618,305858000
21-02-2014,16.42395973,16.71538534,16.40363494,16.65972636,278784800
24-02-2014,16.49588394,16.56999241,16.33547647,16.35830284,288909600
25-02-2014,16.32421494,16.55904309,16.29107003,16.55310313,231952000
26-02-2014,16.1769352,16.41614188,16.12221472,16.37267845,276217200
27-02-2014,16.49963188,16.53433984,16.13628711,16.17037051,301882000
28-02-2014,16.454916,16.65847622,16.32608709,16.5437182,371968800
03-03-2014,16.50244904,16.592816,16.3476676,16.36674162,238781200
04-03-2014,16.61126518,16.65504258,16.5027627,16.60376216,259140000
05-03-2014,16.6462822,16.72101352,16.54528277,16.6012557,200062800
06-03-2014,16.59593201,16.71131455,16.51306979,16.65972021,185488800
07-03-2014,16.58624458,16.63439887,16.44897415,16.60656938,220729600
10-03-2014,16.60126495,16.67662255,16.52059028,16.52121651,178584000
11-03-2014,16.76291275,16.84577499,16.6534718,16.7429019,279224400
12-03-2014,16.7791748,16.80231345,16.63502588,16.71351123,199326400
13-03-2014,16.59281158,16.87454321,16.54622036,16.80512729,257742800
14-03-2014,16.40645409,16.60032039,16.35360894,16.53465513,237199200
17-03-2014,16.47055817,16.57155596,16.44272866,16.50057696,199544800
18-03-2014,16.61626053,16.63408376,16.4223943,16.44428215,209647200
19-03-2014,16.61188507,16.76760329,16.54121671,16.64315463,224756000
20-03-2014,16.53183937,16.65597745,16.48962671,16.5690489,208398400
21-03-2014,16.66222572,16.68974293,16.45772868,16.63283318,374046400
24-03-2014,16.85985565,16.90081754,16.7307144,16.8357785,355700800
25-03-2014,17.04120827,17.06497313,16.87235597,16.93208125,282293200
26-03-2014,16.87829781,17.16659733,16.84953148,17.08905048,299768000
27-03-2014,16.80575752,16.93208491,16.73258924,16.88580595,222031600
28-03-2014,16.78699112,16.85203013,16.70537965,16.83264384,200564000
31-03-2014,16.78324127,16.91050547,16.75791167,16.86110039,168669200
01-04-2014,16.93676567,16.94364581,16.78417359,16.8151292,200760000
02-04-2014,16.96491814,16.99399842,16.8933129,16.95960273,180420800
03-04-2014,16.84734726,16.96335445,16.8113885,16.92864648,162344000
04-04-2014,16.62939453,16.88517367,16.59062195,16.8792337,275251200
07-04-2014,16.3683033,16.60063157,16.31889989,16.51057689,289850400
08-04-2014,16.36736107,16.4511618,16.21914589,16.42208154,243888400
09-04-2014,16.58249664,16.58781205,16.3229651,16.34235139,206169600
10-04-2014,16.36861801,16.64253272,16.35892403,16.5937522,239652000
11-04-2014,16.24760056,16.34828601,16.17036602,16.22852488,271717600
14-04-2014,16.31234169,16.32734942,16.17256959,16.31922016,205674000
15-04-2014,16.1960144,16.31108307,15.98870176,16.26824585,266490000
16-04-2014,16.2288456,16.29388462,16.07656574,16.19882681,214765600
17-04-2014,16.4142704,16.50244975,16.23478726,16.25980291,284334400
21-04-2014,16.60907745,16.63940685,16.38362762,16.42677879,182548800
22-04-2014,16.62564659,16.62971122,16.4630482,16.51964403,202563200
23-04-2014,16.40833473,16.60783045,16.39895302,16.54310368,394940000
24-04-2014,17.75351334,17.82324321,17.53338063,17.76727194,759911600
25-04-2014,17.88390732,17.88546871,17.63438203,17.65220359,390275200
28-04-2014,18.57651711,18.62842376,17.90298466,17.9108033,669485600
29-04-2014,18.52147675,18.63560857,18.43329908,18.56556641,337377600
30-04-2014,18.45143509,18.74348699,18.44236733,18.53117123,456640800
01-05-2014,18.49489594,18.59870753,18.33479914,18.51115444,244048000
02-05-2014,18.52928925,18.57994676,18.43954854,18.52178622,191514400
05-05-2014,18.79132652,18.79257898,18.44862045,18.45299902,287067200
06-05-2014,18.58651924,18.89920657,18.58651924,18.81759509,374564400
07-05-2014,18.52147675,18.67657045,18.37764009,18.6127822,282864400
08-05-2014,18.48846245,18.69033012,18.4384674,18.4966371,230297200
09-05-2014,18.41142464,18.43374877,18.24760238,18.37998042,291597600
12-05-2014,18.64064026,18.66673769,18.46990118,18.47273242,213208800
13-05-2014,18.66988564,18.69441128,18.57367055,18.61454551,159737200
14-05-2014,18.67334557,18.78434153,18.6063715,18.62806758,166404000
15-05-2014,18.51455879,18.75918891,18.49003314,18.69944742,230846000
16-05-2014,18.78779602,18.78842406,18.4070147,18.50857654,276256400
19-05-2014,19.01042366,19.09657829,18.78214285,18.79849385,317755200
20-05-2014,19.0141964,19.06733502,18.88905094,19.00790755,234836000
21-05-2014,19.06450272,19.0767647,18.9308686,18.98652275,196859600
22-05-2014,19.09469414,19.17581939,18.99501974,19.07362777,200760000
23-05-2014,19.31039238,19.32925891,19.06953559,19.09406123,232209600
27-05-2014,19.67199326,19.67922417,19.35755784,19.36541848,348866000
28-05-2014,19.62105179,19.80405288,19.6138192,19.68425255,315481600
29-05-2014,19.97856522,20.02541667,19.73928023,19.74179576,376474000
30-05-2014,19.9037323,20.25495535,19.77481354,20.06032029,564020800
02-06-2014,19.76694489,19.96126585,19.57356767,19.93391065,369350800
03-06-2014,20.04647827,20.08421132,19.75436876,19.76097162,292709200
04-06-2014,20.27539635,20.37192884,20.00152351,20.0433439,335482000
05-06-2014,20.35495186,20.41846835,20.20591044,20.31879226,303805600
06-06-2014,20.29897881,20.47789431,20.26439268,20.43513017,349938400
09-06-2014,20.62378883,20.66340771,20.19458577,20.40368436,301660000
10-06-2014,20.74484253,20.92092675,20.59517145,20.85049339,251108000
11-06-2014,20.65900993,20.85710433,20.57316931,20.71843741,182724000
12-06-2014,20.3134346,20.71622604,20.22759402,20.69861729,218996000
13-06-2014,20.0911293,20.34645121,20.00308721,20.29362495,218100000
16-06-2014,20.2936306,20.41468873,20.12855225,20.14175966,142244000
17-06-2014,20.26722336,20.40368708,20.20559437,20.31784645,118904000
18-06-2014,20.28922653,20.31343815,20.10653945,20.30903512,134056000
19-06-2014,20.21879005,20.31563653,20.10433483,20.31343501,142112000
20-06-2014,20.00970078,20.37067202,20.00749926,20.21659786,403592000
23-06-2014,19.99208641,20.16596912,19.94146165,20.09993711,174776000
24-06-2014,19.87102699,20.19237925,19.8512184,19.97447634,156144000
25-06-2014,19.88863564,19.96347033,19.7323617,19.85561964,147476000
26-06-2014,20.00749207,20.04050806,19.76537754,19.89083699,130516000
27-06-2014,20.2451992,20.24960055,19.97887146,19.98987735,256116000
30-06-2014,20.45430374,20.63038795,20.26941516,20.27161667,197929200
01-07-2014,20.58417511,20.70523327,20.49833448,20.58417511,152892000
02-07-2014,20.57536697,20.70302629,20.48952468,20.66120758,113860000
03-07-2014,20.69642258,20.71182982,20.51373547,20.61718484,91567200
07-07-2014,21.12342262,21.12782397,20.71182673,20.72063111,225872000
08-07-2014,20.98696136,21.30611386,20.6722119,21.18945708,260888000
09-07-2014,20.99576378,21.11902174,20.85709858,21.00676967,145744000
10-07-2014,20.91872787,21.03098162,20.58416816,20.63699444,158744000
11-07-2014,20.95834923,21.10581883,20.87911148,20.98916372,136072000
14-07-2014,21.22907257,21.32591906,21.05299003,21.09921176,171240000
15-07-2014,20.9803524,21.31711188,20.91652192,21.30610767,181911600
16-07-2014,20.86149597,21.37213814,20.85269159,21.34352517,213585200
17-07-2014,20.48952293,20.97155223,20.37506936,20.91652611,229192000
18-07-2014,20.78446579,20.85269764,20.47411767,20.6061817,199952000
21-07-2014,20.67660713,20.90991725,20.6281839,20.90771574,156316000
22-07-2014,20.84829903,20.88571639,20.71623666,20.83949464,220788000
23-07-2014,21.39195251,21.54382345,20.94734058,21.00236669,371672000
24-07-2014,21.35673332,21.42056381,21.22246948,21.35893484,182916000
25-07-2014,21.49760437,21.53502173,21.27089702,21.31711876,173876000
28-07-2014,21.79474258,21.84316583,21.47119044,21.53061791,221272000
29-07-2014,21.65387535,21.88718721,21.62526238,21.86297559,172572000
30-07-2014,21.60325432,21.72431077,21.49760343,21.66708482,132040000
31-07-2014,21.04198647,21.44917939,20.982559,21.38535057,227372000
01-08-2014,21.158638,21.26649038,20.86810022,20.8879105,194044000
04-08-2014,21.0397892,21.25769387,20.94734571,21.21147213,159832000
05-08-2014,20.93633652,21.05959448,20.76905666,20.98916112,223732000
06-08-2014,20.90112114,21.01557641,20.84609502,20.8548994,154232000
07-08-2014,20.89891434,21.22407595,20.81485751,20.99845336,186844000
08-08-2014,20.95641899,20.97411534,20.63346825,20.85024428,167460000
11-08-2014,21.23291206,21.25282087,20.97853263,21.07364836,146340000
12-08-2014,21.22849464,21.42978511,21.14886277,21.24397853,135180000
13-08-2014,21.5094223,21.5094223,21.24398378,21.26831584,127664000
14-08-2014,21.56692505,21.58240893,21.41208626,21.52932158,112464000
15-08-2014,21.67310333,21.71955497,21.42535956,21.65540699,195804000
18-08-2014,21.93412018,21.98057182,21.67310498,21.78591539,190288000
19-08-2014,22.23715973,22.27033995,21.96950885,21.98941766,277596000
20-08-2014,22.24601173,22.36103462,22.10886757,22.21725643,210796000
21-08-2014,22.24822235,22.32785422,22.14425843,22.24600989,133912000
22-08-2014,22.4119091,22.44508933,22.16195455,22.18407413,176736000
25-08-2014,22.46056747,22.59992237,22.40305521,22.51586728,161080000
26-08-2014,22.31678963,22.45172129,22.31015392,22.43402495,132608000
27-08-2014,22.59108162,22.68840984,22.27476658,22.34555029,209476000
28-08-2014,22.61763,22.73486537,22.46500194,22.47163765,273840000
29-08-2014,22.67292404,22.76140408,22.60656359,22.75255591,178380000
02-09-2014,22.84988594,22.94721247,22.72158996,22.7967969,214256000
03-09-2014,21.88545418,22.82776176,21.80582231,22.80564217,501684000
04-09-2014,21.70407104,22.13983215,21.63107489,21.86554555,342872000
05-09-2014,21.89209366,21.98499695,21.74610132,21.85449018,233828000
08-09-2014,21.75715828,21.96729689,21.68858705,21.96508611,185426800
09-09-2014,21.67531586,22.80122101,21.26609755,21.91642394,759385200
10-09-2014,22.3411293,22.36546136,21.62444404,21.67974387,403478400
11-09-2014,22.43624115,22.43845362,22.03587103,22.21061865,249412400
12-09-2014,22.48711967,22.60435502,22.35882369,22.38757899,250504400
15-09-2014,22.48047829,22.79458249,22.43845158,22.74149346,245266000
16-09-2014,22.31015778,22.39863782,21.87439496,22.0756871,267632400
17-09-2014,22.4694252,22.51808932,22.25043668,22.40085227,243706000
18-09-2014,22.51586723,22.63973825,22.46499067,22.54683499,149197600
19-09-2014,22.33227539,22.6397422,22.23052394,22.62647079,283609600
22-09-2014,22.35439682,22.59329243,22.24822212,22.51808549,211153600
23-09-2014,22.70389175,22.77025221,22.23937365,22.25264506,253608800
24-09-2014,22.50701904,22.75033783,22.38535881,22.59771153,240687200
25-09-2014,21.64877319,22.27697831,21.61559297,22.23273913,400368000
26-09-2014,22.28582191,22.28582191,21.76600407,21.79475937,249482000
29-09-2014,22.14426041,22.21725658,21.81688472,21.82130966,199065200
30-09-2014,22.28582191,22.4605695,22.23715782,22.29909333,221056400
01-10-2014,21.93854523,22.27255662,21.83236883,22.25043534,205965200
02-10-2014,22.09780693,22.16859063,21.68637616,21.95845031,191031200
03-10-2014,22.03587914,22.16638594,21.90758311,21.99606319,173878400
06-10-2014,22.03587914,22.26371419,21.99163825,22.10887364,148204800
07-10-2014,21.84342766,22.14647126,21.83900442,21.99384323,168376800
08-10-2014,22.29688072,22.36545194,21.74609348,21.84563414,229618800
09-10-2014,22.34554863,22.64637976,22.25485781,22.46057319,309506000
10-10-2014,22.28139877,22.56895675,22.18628304,22.2725506,265326400
13-10-2014,22.07789993,22.51366279,22.07789993,22.41412379,214333600
14-10-2014,21.84342766,22.23494962,21.80361172,22.20619432,254754400
15-10-2014,21.57577705,21.93190801,21.05374664,21.67089281,403734400
16-10-2014,21.29264069,21.61559139,21.10462166,21.13558942,288618000
17-10-2014,21.60453415,21.89872961,21.41430263,21.56693068,272718800
20-10-2014,22.06683731,22.11107649,21.72619027,21.74830986,310069200
21-10-2014,22.66628838,22.78794696,22.40084825,22.78794696,378495600
22-10-2014,22.78131104,23.02905481,22.69504346,22.74813081,273052400
23-10-2014,23.18831825,23.23698236,22.92287813,23.02241881,284298800
24-10-2014,23.27458763,23.33431069,23.12195959,23.26573946,188215600
27-10-2014,23.25025749,23.33210184,23.15956497,23.1927452,136750800
28-10-2014,23.61081314,23.61081314,23.30334624,23.31440688,192243600
29-10-2014,23.74352837,23.75016576,23.52675403,23.59090202,210751600
30-10-2014,23.66389465,23.74573729,23.42499908,23.65946972,162619200
31-10-2014,23.88952065,23.89836882,23.71477302,23.89173311,178557200
03-11-2014,24.19920158,24.39828127,23.89173472,23.93818637,209130400
04-11-2014,24.02223778,24.21910497,23.82758305,24.19034968,166297600
05-11-2014,24.07975197,24.17708018,23.91827576,24.13283932,149743600
06-11-2014,24.1486187,24.16861384,23.94867748,24.1264032,139874000
07-11-2014,24.21748924,24.28635781,24.11529658,24.15972758,134766000
10-11-2014,24.17750168,24.28858089,24.14195552,24.21971063,108782000
11-11-2014,24.37077904,24.38188764,24.0819741,24.14862061,109769200
12-11-2014,24.7151165,24.75510507,24.29745941,24.29967978,187769600
13-11-2014,25.06391716,25.20387638,24.79288357,24.83731628,238091600
14-11-2014,25.36605263,25.36827469,24.70624174,25.13722969,176254400
17-11-2014,25.32384109,26.05474259,25.17055292,25.38604519,186986800
18-11-2014,25.65262604,25.70150115,25.30161542,25.31272402,176896000
19-11-2014,25.47490883,25.7126183,25.28163206,25.64597178,167476800
20-11-2014,25.83924675,25.96143457,25.51489564,25.5282263,173582000
21-11-2014,25.87479591,26.11916988,25.77704565,26.10584091,228717200
24-11-2014,26.3546524,26.38575445,25.90811521,25.95921069,189803200
25-11-2014,26.1258316,26.60347258,26.0925075,26.45240477,275361600
26-11-2014,26.43685532,26.45907082,26.17693034,26.2013679,163073200
28-11-2014,26.4213047,26.52571945,26.22580588,26.49683776,99257600
01-12-2014,25.56377411,26.49239655,24.71957128,26.39464628,335256000
02-12-2014,25.46602058,25.71483864,25.04836334,25.21498216,237395600
03-12-2014,25.75482559,25.84813172,25.57265576,25.71483701,172253600
04-12-2014,25.6570797,26.03697045,25.61264868,25.71928379,168178000
05-12-2014,25.5482235,25.78815504,25.46824631,25.7681599,153275600
08-12-2014,24.97060966,25.47046617,24.79732635,25.34827835,230659600
09-12-2014,25.35271835,25.39270693,24.29302179,24.47963573,240832000
10-12-2014,24.87063789,25.51489774,24.77955381,25.41714917,178261200
11-12-2014,24.79732323,25.28162865,24.73511745,24.93950448,165606800
12-12-2014,24.3774395,24.85285829,24.3441154,24.53961417,224112400
15-12-2014,24.04421043,24.79288335,23.62655145,24.5929404,268872400
16-12-2014,23.71541023,24.47297122,23.60655309,23.63099065,243162800
17-12-2014,24.30635262,24.40187911,23.73096145,23.79760965,213647200
18-12-2014,25.02614403,25.02614403,24.58404929,24.85286075,236024800
19-12-2014,24.83286858,25.15721967,24.80621065,24.93950537,353719200
22-12-2014,25.09057236,25.21275847,24.87507842,24.91728906,180670000
23-12-2014,25.00171471,25.1772201,24.98394162,25.15500459,104113600
24-12-2014,24.88397026,25.03948051,24.88397026,25.01060052,57918400
26-12-2014,25.32384109,25.4415848,24.88396832,24.90396176,134884000
29-12-2014,25.30606842,25.49712312,25.25941366,25.2794088,110395600
30-12-2014,24.99726868,25.30829085,24.90618459,25.24608676,119526000
31-12-2014,24.52185249,25.13278832,24.48408596,25.06391973,165613600
